0.000000	-0.067472	0.000000
0.200000	-0.067472	0.000000
0.400000	-0.067472	0.000000
0.600000	-0.067472	0.000000
0.800000	-0.067472	0.000000
1.000000	-0.067472	0.000000
1.200000	-0.067472	0.000000
1.400000	-0.067472	0.000000
1.600000	-0.067472	0.000000
1.800000	-0.067472	0.000000
2.000000	-0.067472	0.000000
2.200000	-0.067472	0.000000
2.400000	-0.067472	0.000000
2.600000	-0.067472	0.000000
2.800000	-0.067472	0.000000
3.000000	-0.067472	0.000000
3.200000	-0.067472	0.000000
3.400000	-0.067472	0.000000
3.600000	-0.067472	0.000000
3.800000	-0.067472	0.000000
4.000000	-0.067472	0.000000
4.200000	-0.067472	0.000000
4.400000	-0.067472	0.000000
4.600000	-0.067472	0.000000
4.800000	-0.067472	0.000000
5.000000	-0.067472	0.000000
5.200000	-0.067472	0.000000
5.400000	-0.067472	0.000000
5.600000	-0.067472	0.000000
5.800000	-0.067472	0.000000
6.000000	-0.067472	0.000000
6.200000	-0.067472	0.000000
6.400000	-0.067472	0.000000
6.600000	-0.067472	0.000000
6.800000	-0.067472	0.000000
7.000000	-0.067472	0.000000
7.200000	-0.067472	0.000000
7.400000	-0.067472	0.000000
7.600000	-0.067472	0.000000
7.800000	-0.067472	0.000000
8.000000	-0.067472	0.000000
8.200000	-0.067472	0.000000
8.400000	-0.067472	0.000000
8.600000	-0.067472	0.000000
8.800000	-0.067472	0.000000
9.000000	-0.067472	0.000000
9.200000	-0.067472	0.000000
9.400000	-0.067472	0.000000
9.600000	-0.067472	0.000000
9.800000	-0.067472	0.000000
10.000000	-0.067472	0.000000
10.200000	-0.067472	0.000000
10.400000	-0.067472	0.000000
10.600000	-0.067472	0.000000
10.800000	-0.067472	0.000000
11.000000	-0.067472	0.000000
11.200000	-0.067472	0.000000
11.400000	-0.067472	0.000000
11.600000	-0.067472	0.000000
11.800000	-0.067472	0.000000
12.000000	-0.067472	0.000000
12.200000	-0.067472	0.000000
12.400000	-0.067472	0.000000
12.600000	-0.067472	0.000000
12.800000	-0.067472	0.000000
13.000000	-0.067472	0.000000
13.200000	-0.067472	0.000000
13.400000	-0.067472	0.000000
13.600000	-0.067472	0.000000
13.800000	-0.067472	0.000000
14.000000	-0.067472	0.000000
14.200000	-0.067472	0.000000
14.400000	-0.067472	0.000000
14.600000	-0.067472	0.000000
